word,semantic_dissimilarity
Il,
paese,0.7180964350700378
dei,0.543472945690155
cani,0.3875747323036194
C',0.45150548219680786
era,0.3982110619544983
una,0.4141596555709839
volta,0.35820913314819336
uno,0.2969285249710083
strano,0.4369238615036011
piccolo,0.31282585859298706
paese,0.30072662234306335
Era,0.3116549253463745
composto,0.41565239429473877
in,0.4715385437011719
tutto,0.45759159326553345
di,0.3637794852256775
novantanove,0.44483083486557007
casette,0.39100924134254456
e,0.30237114429473877
ogni,0.40931880474090576
casetta,0.36464130878448486
aveva,0.32630908489227295
un,0.3102756142616272
giardinetto,0.3898206651210785
con,0.33393436670303345
un,0.2840726971626282
cancelletto,0.3506583571434021
e,0.29484373331069946
dietro,0.40395504236221313
il,0.32060062885284424
cancelletto,0.32132065296173096
un,0.2590208053588867
cane,0.3868871331214905
che,0.32233142852783203
abbaiava,0.4122883379459381
Facciamo,0.5638169646263123
un,0.4571499824523926
esempio,0.43444404006004333
Fido,0.4442247748374939
era,0.3268246650695801
il,0.32293426990509033
cane,0.3680962324142456
della,0.3788447380065918
casetta,0.3913772702217102
numero,0.48296600580215454
uno,0.4138301610946655
e,0.3538495898246765
ne,0.44115597009658813
proteggeva,0.3450348377227783
gelosamente,0.41290897130966187
gli,0.3830862045288086
abitanti,0.4017869830131531
e,0.3102843761444092
per,0.41503626108169556
farlo,0.42291033267974854
a,0.4553218483924866
dovere,0.40090757608413696
abbaiava,0.3750850260257721
con,0.3797702193260193
impegno,0.3672220706939697
ogni,0.37453359365463257
volta,0.40661680698394775
che,0.36512523889541626
vedeva,0.37631386518478394
passare,0.4268465042114258
qualcuno,0.3296507000923157
degli,0.3816615343093872
abitanti,0.36978888511657715
delle,0.3740277886390686
altre,0.43157559633255005
novantotto,0.5157844424247742
casette,0.4248415529727936
uomo,0.39971789717674255
donna,0.4065662622451782
o,0.34646981954574585
bambino,0.37850305438041687
Lo,0.5266768336296082
stesso,0.5585834980010986
facevano,0.46077752113342285
gli,0.33416038751602173
altri,0.3494856357574463
novantotto,0.4161895513534546
cani,0.4065181016921997
e,0.3906850218772888
avevano,0.395107626914978
un,0.40147584676742554
gran,0.4889183044433594
da,0.511893630027771
fare,0.4338235855102539
ad,0.3862385153770447
abbaiare,0.44200682640075684
di,0.3829537630081177
giorno,0.42963433265686035
e,0.35823488235473633
di,0.3441319465637207
notte,0.3261590600013733
perché,0.32978981733322144
c',0.4089050590991974
era,0.36155158281326294
sempre,0.34578073024749756
qualcuno,0.3136240839958191
per,0.3259827494621277
la,0.2910217046737671
strada,0.35678520798683167
A,0.4342837333679199
forza,0.4711730480194092
di,0.34709471464157104
sentir,0.426818311214447
abbaiare,0.4774937629699707
i,0.2932421565055847
cani,0.42345476150512695
gli,0.3113691210746765
abitanti,0.40929001569747925
di,0.3262828588485718
quel,0.4018857479095459
paese,0.389549195766449
erano,0.3955788016319275
diventati,0.38896381855010986
tutti,0.3293749690055847
un,0.3113458752632141
po',0.41961678862571716
sordi,0.38797691464424133
e,0.32087278366088867
tra,0.438393235206604
loro,0.3290419578552246
parlavano,0.31513795256614685
pochissimo,0.34364333748817444
Del,0.445639431476593
resto,0.3666604161262512
non,0.2709335684776306
avevano,0.30584418773651123
mai,0.4194983243942261
avuto,0.33384257555007935
grandi,0.39084726572036743
cose,0.32940417528152466
da,0.46659165620803833
dire,0.3563799262046814
e,0.3275981545448303
da,0.37424546480178833
ascoltare,0.3341607451438904
Pian,0.46673983335494995
piano,0.3728896975517273
a,0.44999080896377563
starsene,0.4063955247402191
sempre,0.35698753595352173
zitti,0.40739545226097107
e,0.3398960828781128
immusoniti,0.44081297516822815
disimpararono,0.3955099582672119
anche,0.4132195711135864
a,0.38777482509613037
parlare,0.4032546281814575
E,0.41374802589416504
alla,0.4135572910308838
fine,0.39119952917099
capitò,0.39809539914131165
che,0.2696130871772766
i,0.2645801305770874
padroni,0.41597217321395874
di,0.4084107279777527
casa,0.42764973640441895
si,0.22869348526000977
misero,0.3055700659751892
ad,0.32467567920684814
abbaiare,0.4041456878185272
come,0.38913434743881226
i,0.32345736026763916
loro,0.3621375560760498
cani,0.3370816707611084
Loro,0.35584259033203125
forse,0.3949697017669678
credevano,0.31716641783714294
di,0.3771211504936218
parlare,0.35313138365745544
ma,0.3156841993331909
quando,0.34832262992858887
aprivano,0.34760576486587524
bocca,0.38236236572265625
si,0.31814122200012207
udiva,0.3466402292251587
una,0.2861340641975403
specie,0.43393993377685547
di,0.34266018867492676
bau,0.45486125349998474
bau,0.4477921426296234
che,0.2744988203048706
faceva,0.3308185338973999
venire,0.462502658367157
la,0.32281845808029175
pelle,0.34804171323776245
d',0.43558159470558167
oca,0.43066346645355225
E,0.45650047063827515
così,0.43421050906181335
abbaiavano,0.4269254207611084
i,0.3152318000793457
cani,0.36996227502822876
abbaiavano,0.3513448238372803
gli,0.29420334100723267
uomini,0.41053223609924316
e,0.3396749496459961
le,0.24191170930862427
donne,0.31263506412506104
abbaiavano,0.3023879826068878
i,0.2216707468032837
bambini,0.35052549839019775
mentre,0.3409748673439026
giocavano,0.33804407715797424
le,0.4067223072052002
novantanove,0.532433032989502
villette,0.4323776066303253
sembravano,0.410361111164093
diventate,0.4331117868423462
novantanove,0.4228486716747284
canili,0.3997364044189453
Però,0.45613694190979004
erano,0.3453104496002197
graziose,0.3553239405155182
avevano,0.35161614418029785
tendine,0.41661855578422546
pulite,0.38525646924972534
dietro,0.44763433933258057
i,0.40024620294570923
vetri,0.36737561225891113
e,0.3184952735900879
perfino,0.3604775071144104
gerani,0.3682247996330261
e,0.3169969320297241
piantine,0.32633912563323975
grasse,0.3134082555770874
sui,0.2948693633079529
balconi,0.36857926845550537
Una,0.5428125858306885
volta,0.5248092412948608
capitò,0.5038522481918335
da,0.39618825912475586
quelle,0.46949392557144165
parti,0.46602481603622437
Giovannino,0.44303688406944275
Perdigiorno,0.4869161546230316
durante,0.3936913013458252
uno,0.35484713315963745
dei,0.42147064208984375
suoi,0.3829304575920105
famosi,0.3736761808395386
viaggi,0.3231130540370941
I,0.4080139994621277
novantanove,0.4945836365222931
cani,0.41298848390579224
lo,0.36876559257507324
accolsero,0.39102834463119507
con,0.38339918851852417
un,0.28587615489959717
concerto,0.37609416246414185
che,0.36267393827438354
avrebbe,0.4645637273788452
fatto,0.43789368867874146
diventare,0.42075300216674805
nervoso,0.4356279969215393
un,0.3301369547843933
paracarro,0.3804461359977722
Domandò,0.42022964358329773
un',0.3650707006454468
informazione,0.39665746688842773
a,0.33530378341674805
una,0.27600324153900146
donna,0.36392050981521606
ed,0.45641642808914185
essa,0.41992461681365967
gli,0.4009621739387512
rispose,0.3968038558959961
abbaiando,0.3857637047767639
Fece,0.3750757575035095
un,0.2714465260505676
complimento,0.3684549927711487
a,0.28612661361694336
un,0.22221225500106812
bambino,0.3449872136116028
e,0.2693859338760376
ne,0.4207460880279541
ricevette,0.36372998356819153
in,0.39369380474090576
cambio,0.3499942421913147
un,0.2637667655944824
ululato,0.38841429352760315
Ho,0.4667280316352844
capito,0.4014268219470978
concluse,0.4697096347808838
Giovannino,0.4337519407272339
è,0.3790147304534912
un',0.3944006562232971
epidemia,0.4043692648410797
Si,0.35261833667755127
fece,0.4503556489944458
ricevere,0.461887001991272
dal,0.37151461839675903
sindaco,0.4744609594345093
e,0.3243907690048218
gli,0.3735721707344055
disse,0.36755913496017456
Io,0.4242905378341675
un,0.3861680030822754
rimedio,0.40098845958709717
sicuro,0.3979964852333069
ce,0.41346895694732666
l',0.43293413519859314
avrei,0.3772725760936737
Primo,0.40437179803848267
fate,0.393665611743927
abbattere,0.45537757873535156
tutti,0.41721111536026
i,0.3553308844566345
cancelletti,0.39572012424468994
tanto,0.43102240562438965
i,0.27391791343688965
giardini,0.33675360679626465
cresceranno,0.3249134421348572
benissimo,0.3431848883628845
anche,0.3596019148826599
senza,0.3727889060974121
inferriate,0.3711267113685608
Secondo,0.4963357150554657
mandate,0.42760878801345825
i,0.30823206901550293
cani,0.35740554332733154
a,0.3976893424987793
caccia,0.3549065589904785
si,0.2975807189941406
divertiranno,0.325482577085495
di,0.3369401693344116
più,0.29958075284957886
e,0.2626311182975769
diventeranno,0.3000519275665283
più,0.2848201394081116
gentili,0.36671555042266846
Terzo,0.45154833793640137
fate,0.35921353101730347
una,0.31990039348602295
bella,0.3532904386520386
festa,0.3485751748085022
da,0.4363405704498291
ballo,0.4392821192741394
e,0.2707550525665283
dopo,0.35879790782928467
il,0.2863200902938843
primo,0.3566741943359375
valzer,0.42639386653900146
imparerete,0.35689428448677063
a,0.3543792963027954
parlare,0.37328487634658813
di,0.3744126558303833
nuovo,0.3483703136444092
Il,0.38612955808639526
sindaco,0.47130000591278076
gli,0.4655442237854004
rispose,0.41524001955986023
Bau,0.4346559941768646
Bau,0.3667909801006317
Ho,0.753642201423645
capito,0.35618287324905396
disse,0.447598934173584
Giovannino,0.3962802290916443
il,0.45435452461242676
peggior,0.5570478439331055
malato,0.46730518341064453
è,0.3647981882095337
quello,0.38682878017425537
che,0.37143921852111816
crede,0.38936686515808105
di,0.44741374254226685
essere,0.3350245952606201
sano,0.36204782128334045
E,0.39023053646087646
se,0.3420214056968689
ne,0.43727803230285645
andò,0.37906599044799805
per,0.38713109493255615
i,0.41732311248779297
fatti,0.5214091539382935
suoi,0.3578203320503235
Di,0.4501990079879761
notte,0.431016206741333
se,0.45116519927978516
sentite,0.43161433935165405
abbaiare,0.4603579640388489
molti,0.3637843132019043
cani,0.36504536867141724
insieme,0.39567625522613525
in,0.3462180495262146
lontananza,0.3351745009422302
può,0.3880873918533325
darsi,0.4383062720298767
che,0.3739210367202759
siano,0.3385506272315979
dei,0.3214527368545532
cani,0.3718424439430237
cani,0.3491356670856476
ma,0.3863450288772583
può,0.3706371784210205
anche,0.42526698112487793
darsi,0.36771339178085327
che,0.30740469694137573
siano,0.290594220161438
gli,0.3113864064216614
abitanti,0.3655295968055725
di,0.33799922466278076
quello,0.4277880787849426
strano,0.4970881938934326
piccolo,0.41588449478149414
paese,0.37379932403564453
